Title,Writer,Date Written,Number of Comments,Number of Likes,Link to Article
Seasons greetings 2023 from PlayStation.Blog and friends,"O’Dell Harmon Jr. (he/him)Specialist, Content Communications, SIE","Date published:December 15, 2023",17,150,https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
PS Blog Game of the Year Awards 2023: voting is now open,"Gillen McAllister (he/him)Manager, Content Communications, SIE","Date published:December 13, 2023",106,"2,286",https://blog.playstation.com/2023/12/13/ps-blog-game-of-the-year-awards-2023-voting-is-now-open/
"Tekken 8: hands-on with Arcade Quest, Super Ghost Battles, and Tekken Ball","O’Dell Harmon Jr. (he/him)Specialist, Content Communications, SIE","Date published:December 12, 2023",6,89,https://blog.playstation.com/2023/12/12/tekken-8-hands-on-with-arcade-quest-super-ghost-battles-and-tekken-ball/
"Alan Wake 2 gets New Game Plus mode titled The Final Draft, available today","Sam LakeCreative Director, Remedy Entertainment","Date published:December 11, 2023",4,123,https://blog.playstation.com/2023/12/11/alan-wake-2-gets-new-game-plus-mode-titled-the-final-draft-available-today/
Share of the Week: Fortnite,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:December 8, 2023",2,51,https://blog.playstation.com/2023/12/08/share-of-the-week-fortnite/
The Finals launches on PS5 today,Dusty GustafssonCX Lead at Embark Studios,"Date published:December 7, 2023",4,68,https://blog.playstation.com/2023/12/07/the-finals-launches-on-ps5-today/
"Final Fantasy XVI: two new story DLCs announced, first launches today","Clara Hertzog (she/her)Content Communications Specialist, PlayStation","Date published:December 7, 2023",12,227,https://blog.playstation.com/2023/12/07/final-fantasy-xvi-two-new-story-dlcs-announced-first-launches-today/
Rise of the Ronin arrives only on PS5 March 22,"Fumihiko YasudaDirector and President, Team Ninja","Date published:December 7, 2023",17,222,https://blog.playstation.com/2023/12/07/rise-of-the-ronin-arrives-only-on-ps5-march-22/
"God of War Ragnarök: Valhalla DLC revealed, coming December 12","Grace OrladyLead Community Manager, Santa Monica Studio","Date published:December 7, 2023",56,860,https://blog.playstation.com/2023/12/07/god-of-war-ragnarok-valhalla-dlc-revealed-coming-december-12/
"First hands-on details: Fortnite Festival, Rocket Racing, and LEGO Fortnite",De’Angelo EppsPlayStation Blog Correspondent,"Date published:December 7, 2023",9,107,https://blog.playstation.com/2023/12/07/first-hands-on-details-lego-fortnite/
Expanding the Avatar franchise with Avatar: Frontiers of Pandora,"Lucy O’BrienDirector, Editorial Communications, Ubisoft","Date published:December 6, 2023",9,81,https://blog.playstation.com/2023/12/06/expanding-the-avatar-franchise-with-avatar-frontiers-of-pandora/
Celebrating inclusivity: Access controller for PS5 launches today,"Hideaki NishinoSenior Vice President, Platform Experience, SIE","Date published:December 6, 2023",8,88,https://blog.playstation.com/2023/12/06/celebrating-inclusivity-access-controller-for-ps5-launches-today/
"The Last of Us Part II Remastered: Exploring the roguelike survival mode, No Return","Jonathon DornbushEditorial Content Manager, Naughty Dog","Date published:December 5, 2023",25,123,https://blog.playstation.com/2023/12/05/the-last-of-us-part-ii-remastered-exploring-the-roguelike-survival-mode-no-return/
The Access controller for PS5 starter’s guide,"Sid Shuman (he/him)Senior Director, SIE Content Communications","Date published:December 4, 2023",4,83,https://blog.playstation.com/2023/12/04/the-access-controller-for-ps5-starters-guide/
Share of the Week: Emotions,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:December 1, 2023",0,78,https://blog.playstation.com/2023/12/01/share-of-the-week-emotions/
Players’ Choice: Like a Dragon Gaiden: The Man Who Erased His Name voted November’s best new game,"O’Dell Harmon Jr. (he/him)Specialist, Content Communications, SIE","Date published:December 1, 2023",8,91,https://blog.playstation.com/2023/12/01/players-choice-vote-for-novembers-best-new-game/
"Born of Bread, home-cooked turn-based RPG rises December 5 on PS5","Gabriel Bolduc DufourArt Director, WildArts Studio","Date published:December 1, 2023",1,54,https://blog.playstation.com/2023/12/01/born-of-bread-home-cooked-turn-based-rpg-rises-december-5-on-ps5/
"Unravel the gameplay loop of Pacific Drive, launching on PS5 Feb 22","Blake DoveCommunications and Marketing Specialist, Ironwood Studios","Date published:November 30, 2023",3,71,https://blog.playstation.com/2023/11/30/unravel-the-gameplay-loop-of-pacific-drive-launching-on-ps5-feb-22/
"First gameplay details on new Penny’s Big Breakaway boss, Mr. Q","Brad FlickDesign Director, Evening Star","Date published:November 30, 2023",2,48,https://blog.playstation.com/2023/11/30/first-gameplay-details-on-new-pennys-big-breakaway-boss-mr-q/
"Full details on Call of Duty: Modern Warfare III and Warzone Season 1, out December 6","Daniel NoelWriter, Activision","Date published:November 30, 2023",10,28,https://blog.playstation.com/2023/11/30/full-details-on-call-of-duty-modern-warfare-iii-and-warzone-season-1-out-december-6/
The Gran Turismo World Series 2023 concludes in Barcelona starting Dec 1,"Ken ChanSr Product Manager, SIE","Date published:November 29, 2023",1,49,https://blog.playstation.com/2023/11/29/the-gran-turismo-world-series-2023-concludes-in-barcelona-starting-dec-1/
"Dragon’s Dogma 2 arrives March 22, 2024 on PS5","Ken MendozaPromotion Producer, Capcom","Date published:November 28, 2023",14,118,https://blog.playstation.com/2023/11/28/dragons-dogma-2-arrives-march-22-2024-on-ps5/
"Destiny 2 x The Witcher collab details revealed, available today","Tim Turi (he/him)Content Communications Manager, SIE","Date published:November 28, 2023",1,41,https://blog.playstation.com/2023/11/28/destiny-2-x-the-witcher-collab-details-revealed-available-today/
Five Nights at Freddy’s: Help Wanted 2 seeks new employees December 14,"Ray McCaffreyExecutive Producer, Steel Wool Studios","Date published:November 20, 2023",18,263,https://blog.playstation.com/2023/11/20/five-nights-at-freddys-help-wanted-2-seeks-new-employees-december-14/
"The top three Call of Duty: Modern Warfare III maps, according to PlayStation players","David HodgsonEditorial Manager, Activision","Date published:November 20, 2023",7,40,https://blog.playstation.com/2023/11/20/the-top-three-call-of-duty-modern-warfare-iii-maps-according-to-playstation-players/
Share of the Week: Marvel’s Spider-Man 2 – Miles Morales,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:November 17, 2023",1,175,https://blog.playstation.com/2023/11/17/share-of-the-week-marvels-spider-man-2-miles-morales/
Monarch: Legacy of Monsters hits Apple TV+ today – Director Q&A,"Tim Turi (he/him)Content Communications Manager, SIE","Date published:November 17, 2023",9,65,https://blog.playstation.com/2023/11/17/monarch-legacy-of-monsters-hits-apple-tv-today-director-qa/
Horizon Forbidden West: Seeds of Rebellion – new gameplay and story details on the upcoming tabletop adventure,"Chante GoodmanSenior Community Manager, Guerrilla","Date published:November 17, 2023",2,192,https://blog.playstation.com/2023/11/17/horizon-forbidden-west-seeds-of-rebellion-new-gameplay-and-story-details-on-the-upcoming-tabletop-adventure/
How Suicide Squad: Kill the Justice League taps into PS5’s immersive power,"Darroch BrownCommunity Manager, Rocksteady Studios","Date published:November 15, 2023",13,216,https://blog.playstation.com/2023/11/15/how-suicide-squad-kill-the-justice-league-taps-into-ps5s-immersive-power/
New Access controller accessibility consultants spotlight video and setup tutorials,"Isabelle TomatisVice President, Global Marketing, SIE","Date published:November 14, 2023",4,141,https://blog.playstation.com/2023/11/14/new-access-controller-accessibility-consultants-spotlight-video-and-setup-tutorials/
Avatar: Frontiers of Pandora utilizes PS5’s unique features to become Na’vi,"Lucy O’BrienDirector, Editorial Communications, Ubisoft","Date published:November 13, 2023",9,82,https://blog.playstation.com/2023/11/13/avatar-frontiers-of-pandora-utilizes-ps5s-unique-features-to-become-navi/
Tekken 8 game director reveals details on new characters Reina and Victor,"Kohei IkedaTekken 8 Director, Bandai Namco Studios","Date published:November 12, 2023",4,83,https://blog.playstation.com/2023/11/12/tekken-8-game-director-reveals-details-on-new-characters-reina-and-victor/
Share of the Week: Marvel’s Spider-Man 2 – Peter Parker,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:November 10, 2023",3,110,https://blog.playstation.com/2023/11/10/share-of-the-week-marvels-spider-man-2-peter-parker/
Celebrating the one-year anniversary of God of War Ragnarök,"Grace OrladyLead Community Manager, Santa Monica Studio","Date published:November 9, 2023",4,142,https://blog.playstation.com/2023/11/09/celebrating-the-one-year-anniversary-of-god-of-war-ragnarok/
Call of Duty: Modern Warfare III launches Nov 10 — insider tips to get started,"David HodgsonEditorial Manager, Activision","Date published:November 8, 2023",12,42,https://blog.playstation.com/2023/11/08/call-of-duty-modern-warfare-iii-launches-nov-10-insider-tips-to-get-started/
PlayStation Store: October 2023’s top downloads,Justin CorriePlayStation Blog Correspondent,"Date published:November 8, 2023",7,87,https://blog.playstation.com/2023/11/08/playstation-store-october-2023s-top-downloads/
"Celebrating the holiday season with blockbuster games, new hardware products, and more PS5 console inventory than ever before","Andrea PerezSenior Vice President, Brand, Product & Services Marketing","Date published:November 7, 2023",82,313,https://blog.playstation.com/2023/11/07/celebrating-the-holiday-season-with-blockbuster-games-new-hardware-products-and-more-ps5-console-inventory-than-ever-before/
Share of the Week: Marvel’s Spider-Man 2,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:November 3, 2023",3,115,https://blog.playstation.com/2023/11/03/share-of-the-week-marvels-spider-man-2/
Honkai: Star Rail Version 1.5 unveils ghost-hunting adventures on the Xianzhou Luofu – live Nov 15,"Yang YuTechnical Lead, Hoyoverse","Date published:November 3, 2023",2,47,https://blog.playstation.com/2023/11/03/honkai-star-rail-version-1-5-unveils-ghost-hunting-adventures-on-the-xianzhou-luofu-live-nov-15/
Fortnite honors its past in Chapter 4 Season OG,"Ryan BrosekerSenior Marketing Manager, Epic Games","Date published:November 3, 2023",6,77,https://blog.playstation.com/2023/11/03/fortnite-honors-its-past-in-chapter-4-season-og/
Players’ Choice: Marvel’s Spider-Man 2 voted October’s best new game,"O’Dell Harmon Jr. (he/him)Specialist, Content Communications, SIE","Date published:November 1, 2023",43,350,https://blog.playstation.com/2023/11/01/players-choice-vote-for-octobers-best-new-game-3/
PlayStation Stars campaigns and digital collectibles for November 2023,"Grace ChenVice President, Network Advertising, Loyalty & Licensed Merchandise","Date published:November 1, 2023",37,101,https://blog.playstation.com/2023/11/01/playstation-stars-campaigns-and-digital-collectibles-for-november-2023/
"Gran Turismo 7 update with SPEC II 1.40 arrives today – new cars, track, and features","Ken ChanSr Product Manager, SIE","Date published:November 1, 2023",29,190,https://blog.playstation.com/2023/11/01/gran-turismo-7-update-with-spec-ii-1-40-arrives-today-new-cars-track-and-features/
How Modern Warfare III devs brought new Operator Lockpick to life,"David HodgsonEditorial Manager, Activision","Date published:October 31, 2023",7,30,https://blog.playstation.com/2023/10/31/how-modern-warfare-iii-devs-brought-new-operator-lockpick-to-life/
"The Foglands delivers immersive, atmospheric roguelite action today on PS VR2 and PS5","Andrew ThompsonCTO, Well Told Entertainment","Date published:October 31, 2023",5,52,https://blog.playstation.com/2023/10/31/the-foglands-delivers-immersive-atmospheric-roguelite-action-today-on-ps-vr2-and-ps5/
Taking to the skies in Avatar: Frontiers of Pandora – hands-on report,Heidi Kemps (she/her)PlayStation Blog Correspondent,"Date published:October 30, 2023",7,75,https://blog.playstation.com/2023/10/30/taking-to-the-skies-in-avatar-frontiers-of-pandora-hands-on-report/
How EA Sports WRC brings realism to rally driving on PS5– out Nov 3,"Jon ArmstrongRally Driver and Games Designer, Codemasters","Date published:October 30, 2023",17,49,https://blog.playstation.com/2023/10/30/how-ea-sports-wrc-brings-realism-to-rally-driving-on-ps5-out-nov-3/
How Star Ocean: The Second Story R modernizes a classic PlayStation adventure 25 years later,"Kei KomakiProducer, Square Enix","Date published:October 26, 2023",9,95,https://blog.playstation.com/2023/10/26/how-star-ocean-the-second-story-r-modernizes-a-classic-playstation-adventure-25-years-later/
Share of the Week: Assassin’s Creed Mirage – Basim,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:October 20, 2023",2,55,https://blog.playstation.com/2023/10/20/share-of-the-week-assassins-creed-mirage-basim/
"Marvel’s Spider-Man 2 launch interview: Bryan Intihar on the game’s opening sequence, ASL, accessibility options, and more","Gillen McAllister (he/him)Manager, Content Communications, SIE","Date published:October 20, 2023",10,152,https://blog.playstation.com/2023/10/20/marvels-spider-man-2-launch-interview-bryan-intihar-on-the-games-opening-sequence-asl-accessibility-options-and-more/
Metal Gear Solid 25th Anniversary: The evolution of the iconic stealth-action series,Heidi Kemps (she/her)PlayStation Blog Correspondent,"Date published:October 20, 2023",15,113,https://blog.playstation.com/2023/10/20/metal-gear-solid-25th-anniversary-the-evolution-of-the-iconic-stealth-action-series/
Marvel’s Spider-Man 2 Photo Mode features detailed: tips to get started,"Gillen McAllister (he/him)Manager, Content Communications, SIE","Date published:October 19, 2023",9,158,https://blog.playstation.com/2023/10/19/marvels-spider-man-2-photo-mode-features-detailed-tips-to-get-started/
Mail Time: cozy cottagecore adventure delivered to PS5 and PS4 October 19,"Katie VanClieafSocial Media Manager, Freedom Games","Date published:October 17, 2023",2,53,https://blog.playstation.com/2023/10/17/mail-time-cozy-cottagecore-adventure-delivered-to-ps5-and-ps4-october-19/
Share of the Week: Assassin’s Creed Mirage,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:October 13, 2023",3,62,https://blog.playstation.com/2023/10/13/share-of-the-week-assassins-creed-mirage/
Scaling up in Marvel’s Spider-Man 2: how Insomniac created a new version of Lizard,Heidi Kemps (she/her)PlayStation Blog Correspondent,"Date published:October 12, 2023",13,226,https://blog.playstation.com/2023/10/12/scaling-up-in-marvels-spider-man-2-how-insomniac-created-a-new-version-of-lizard/
Players’ Choice: Baldur’s Gate 3 voted September’s best new game,"O’Dell Harmon Jr. (he/him)Specialist, Content Communications, SIE","Date published:October 12, 2023",15,206,https://blog.playstation.com/2023/10/12/players-choice-vote-for-septembers-best-new-game-3/
Experience postseason baseball in MLB The Show 23,"Steve PeerSr. Project Manager, San Diego Studio","Date published:October 11, 2023",0,31,https://blog.playstation.com/2023/10/11/experience-postseason-baseball-in-mlb-the-show-23/
New look for PS5 console this holiday season,"Sid Shuman (he/him)Senior Director, SIE Content Communications","Date published:October 10, 2023",389,"1,628",https://blog.playstation.com/2023/10/10/new-look-for-ps5-console-this-holiday-season/
Honkai: Star Rail version 1.4 brings the space-fantasy RPG to PS5 on Oct 10,"Yang YuTechnical Lead, Hoyoverse","Date published:October 9, 2023",14,92,https://blog.playstation.com/2023/10/09/honkai-star-rail-version-1-4-brings-the-space-fantasy-rpg-to-ps5-on-oct-10/
Modern Warfare III Multiplayer hands-on report – combining nostalgia and ultramodern,De’Angelo EppsPlayStation Blog Correspondent,"Date published:October 6, 2023",15,55,https://blog.playstation.com/2023/10/06/modern-warfare-iii-multiplayer-hands-on-report-combining-nostalgia-and-ultramodern/
Share of the Week: Rest,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:October 6, 2023",2,77,https://blog.playstation.com/2023/10/06/share-of-the-week-rest/
"How Lords of the Fallen harnesses immersive PS5 features, out Oct 13","Saul GasconExecutive Producer, Hexworks","Date published:October 6, 2023",14,95,https://blog.playstation.com/2023/10/06/how-lords-of-the-fallen-harnesses-immersive-ps5-features-out-oct-13/
Saltsea Chronicles builds a world of island communities on PS5 Oct 12,"Harry Josephine GilesWriter, Die Gute Fabrik","Date published:October 5, 2023",2,44,https://blog.playstation.com/2023/10/05/saltsea-chronicles-builds-a-world-of-island-communities-on-ps5-oct-12/
The Gecko Gods puzzle-adventure is coming to PlayStation next year,"Jonathan BinnsSenior Brand Manager, Super Rare Games","Date published:October 5, 2023",1,72,https://blog.playstation.com/2023/10/05/the-gecko-gods-puzzle-adventure-is-coming-to-playstation-next-year/
KarmaZoo: Make meaningful connections and find bliss in cooperation November 14,"Isabel WeberCommunity Manager, Pastagames","Date published:October 5, 2023",0,48,https://blog.playstation.com/2023/10/05/karmazoo-make-meaningful-connections-and-find-bliss-in-cooperation-november-14/
New Dredge DLC approaching starboard side November 16,"Nadia ThorneProducer, Black Salt Games","Date published:October 5, 2023",4,61,https://blog.playstation.com/2023/10/05/new-dredge-dlc-approaching-starboard-side-november-16/
"Sony Pictures Core, formerly Bravia Core, launches on PS5 and PS4 consoles; exclusive benefits including early access to select Sony Pictures films","Evan SternSr Director, Global Marketing","Date published:October 5, 2023",125,374,https://blog.playstation.com/2023/10/05/sony-pictures-core-formerly-bravia-core-launches-on-ps5-and-ps4-consoles-exclusive-benefits-including-early-access-to-select-sony-pictures-films/
Horizon Forbidden West Complete Edition arrives Oct 6 on PS5 — bringing the characters to life,"Narae LeeSenior Community Manager, Guerrilla","Date published:October 4, 2023",39,129,https://blog.playstation.com/2023/10/04/horizon-forbidden-west-complete-edition-arrives-oct-6-on-ps5-bringing-the-characters-to-life/
"Fly the PS VR2-powered skies of Project Wingman: Frontline 59, out today","Abi RahmaniLead Developer, Sector D2","Date published:October 3, 2023",47,112,https://blog.playstation.com/2023/10/03/fly-the-ps-vr2-powered-skies-of-project-wingman-frontline-59-out-today/
"Fallout 76’s Atlantic City update: Factions, locations detailed–out December 5 on PS5 and PS4","Parker Wilhelm (he/him)Marketing Content Manager, Bethesda Softworks","Date published:October 2, 2023",5,45,https://blog.playstation.com/2023/10/02/fallout-76s-atlantic-city-update-factions-locations-detailed-out-december-5-on-ps5-and-ps4/
Share of the Week: Moonlight,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:September 29, 2023",0,65,https://blog.playstation.com/2023/09/29/share-of-the-week-moonlight-3/
PlayStation Stars campaigns and digital collectibles for October 2023,"Grace ChenVice President, Network Advertising, Loyalty & Licensed Merchandise","Date published:September 29, 2023",18,102,https://blog.playstation.com/2023/09/29/playstation-stars-campaigns-and-digital-collectibles-for-october-2023/
Marvel’s Spider-Man 2 builds on accessibility in previous titles and introduces new features,"Michele ZorrillaAdvanced Senior UX Researcher, Insomniac Games","Date published:September 28, 2023",24,184,https://blog.playstation.com/2023/09/28/marvels-spider-man-2-builds-on-accessibility-in-previous-titles-and-introduces-new-features/
Teardown is coming to PS5 on November 15,"Marcus DawsonCEO, Tuxedo Labs","Date published:September 28, 2023",8,120,https://blog.playstation.com/2023/09/28/teardown-is-coming-to-ps5-on-november-15/
"Gran Turismo 7 Update 1.38 adds exciting new cars, Extra Menus, and a new Scapes location on Sep 28","Ken ChanSr Product Manager, SIE","Date published:September 27, 2023",10,85,https://blog.playstation.com/2023/09/27/gran-turismo-7-update-1-38-adds-exciting-new-cars-extra-menus-and-a-new-scapes-location-on-sep-28/
Alan Wake 2 hands-on report: illuminating new gameplay details,"Sid Shuman (he/him)Senior Director, SIE Content Communications","Date published:September 27, 2023",4,79,https://blog.playstation.com/2023/09/27/alan-wake-2-hands-on-report-illuminating-new-gameplay-details/
"Baldur’s Gate 3 – Devs share most popular, powerful, and unconventional multiclass builds","Emily GeraProduct Manager, Larian Studios","Date published:September 27, 2023",2,124,https://blog.playstation.com/2023/09/27/baldurs-gate-3-devs-share-most-popular-powerful-and-unconventional-multiclass-builds/
Horizon Forbidden West: Complete Edition is coming to PS5 and PC,"Mathijs de JongeGame Director, Guerrilla","Date published:September 27, 2023",74,174,https://blog.playstation.com/2023/09/27/horizon-forbidden-west-complete-edition-is-coming-to-ps5-and-pc/
